Agency,Station Name,Line,Artist,Art Title,Art Date,Art Material,Art Image Link
NYCT,Fulton Center,A; C; J; Z; 2; 3; 4; 5,James Carpenter Design Associates; Grimshaw Architects; and Arup,Sky Reflector-Net,2014,Perforated aluminum panels and stainless steel cable,https://new.mta.info/agency/arts-design/collection/sky-reflector-net
Metro-North,Mamaroneck,New Haven,Kim Cridler,Where the Sweet Waters Fall,2014,Steel; aluminum and concrete,https://new.mta.info/agency/arts-design/collection/where-the-sweet-waters-fall
Metro-North,Pelham,New Haven,Loren Eiferman,HOME: INSIDE/OUTSIDE,2014,Steel,https://new.mta.info/agency/arts-design/collection/home-inside-outside
NYCT,Middletown Rd,6,Amanda Schachter and Alexander Levi,Cross-Bronx Waterway,2015,Stainless Steel,https://new.mta.info/agency/arts-design/collection/cross-bronx-waterway
NYCT,104 St,A,BŽatrice Coron,On the Right Track,2015,Stainless steel,https://new.mta.info/agency/arts-design/collection/on-the-right-track
NYCT,88 St,A,Haresh Lalvani,MORPHING88,2015,Stainless steel,https://new.mta.info/agency/arts-design/collection/morphings88
NYCT,Zerega Av,6,Jaime Arredondo,Garden of Earthly Delights,2015,Ceramic forms and glass mosaic,https://new.mta.info/agency/arts-design/collection/garden-of-earthly-delights
LIRR,Wyandanch Parking Garage,Ronkonkoma,Moe Brooker,Just Jazz,2015,Laminated Glass,https://new.mta.info/agency/arts-design/collection/just-jazz
LIRR,Massapequa,Babylon,Peter Drake,Waiting for Toydot,2015,Laminated glass and mosaic,https://new.mta.info/agency/arts-design/collection/waiting-for-toydot
NYCT,Castle Hill Av,6,Priscila De Carvalho,Bronx: Heart; Homeland,2015,Stainless steel,https://new.mta.info/agency/arts-design/collection/bronx-heart-homeland
NYCT,Rockaway Blvd,A,Ray King,Connections,2015,Stainless steel and glass,https://new.mta.info/agency/arts-design/collection/connections
Metro-North,North White Plains Parking Garage,Harlem,SITU Studio,Percolate,2015,Stainless Steel,https://new.mta.info/agency/arts-design/collection/percolate
NYCT,Buhre Av,6,Soonae Tark,Have a Happy Day,2015,Glass mosaic,https://new.mta.info/agency/arts-design/collection/have-a-happy-day
NYCT,34 St-Hudson Yards,7,Xenobia Bailey,Funktional Vibrations,2015,Mosaic,https://new.mta.info/agency/arts-design/collection/funktional-vibrations
NYCT,Ditmas Av,F,Cara Lynch,Inheritance: In Memory of American Glass,2016,Laminated glass,https://new.mta.info/agency/arts-design/collection/inheritance-in-memory-of-american-glass
Metro-North,Croton-Harmon,Hudson,Corinne Ulmann,Croton-Harmon Station,2016,Glass mosaic; vinyl,https://new.mta.info/agency/arts-design/collection/croton-harmon-station
Metro-North,Fordham,Harlem,Dan Funderburgh,Eureka,2016,Aluminum,https://new.mta.info/agency/arts-design/collection/eureka
NYCT,111 St,A,Linda Ganjian,Home Sweet Home,2016,Etched stainless steel,https://new.mta.info/agency/arts-design/collection/home-sweet-home
NYCT,80 St,A,Mia Pearlman,SOAR,2016,Stainless steel,https://new.mta.info/agency/arts-design/collection/soar
NYCT,Junius St,3,BŽatrice Lebreton,Paroles Vagabondes/Wisdom Along the Way,2017,Stainless steel,https://new.mta.info/agency/arts-design/collection/wisdom-along-way
NYCT,Rockaway Av,3,BŽatrice Lebreton,Paroles Vagabondes/Wisdom Along the Way,2017,Stainless steel,https://new.mta.info/agency/arts-design/collection/wisdom-along-way
NYCT,86 St,Q,Chuck Close,Subway Portraits,2017,Glass and ceramic mosaic; ceramic tile,https://new.mta.info/agency/arts-design/collection/subway-portraits
NYCT,Avenue X,F,Derek Lerner,AVEX1-6(station),2017,Laminated Glass,https://new.mta.info/agency/arts-design/collection/avex1-6-station
NYCT,Lexington Av/63 St,Q,Jean Shin,Elevated,2017,Laminated glass; glass mosaic; and ceramic tile,https://new.mta.info/agency/arts-design/collection/elevated
SIR,Arthur Kill,S,Jenna Lucente,Tottenville Sun; Tottenville Sky,2017,Laminated Glass,https://new.mta.info/agency/arts-design/collection/tottenville-sun-tottenville-sky
NYCT,Bay Ridge Av,R,Katy Fischer,Strata,2017,Mosaic and hand-glazed ceramic,https://new.mta.info/agency/arts-design/collection/strata
NYCT,53 St,R,Mickalene Thomas,Untitled,2017,Mosaic and glass,https://new.mta.info/agency/arts-design/collection/untitled-53-st
NYCT,Prospect Av,R,Monika Bravo,Duration,2017,Glass mosaic and ceramic-printed glass,https://new.mta.info/agency/arts-design/collection/duration
NYCT,Saratoga Av,3,Nancy Baker,Chandelier,2017,Painted stainless steel,https://new.mta.info/agency/arts-design/collection/chandelier-ailthanus
NYCT,Sutter Av-Rutland Rd,3,Nancy Baker,Ailanthus,2017,Painted stainless steel,https://new.mta.info/agency/arts-design/collection/chandelier-ailthanus
